Frequent set: { El Salvador Aid }, support: 0.49
Frequent set: { Not Aid to Nicaraguan Contras }, support: 0.41
Frequent set: { Not MX Missile }, support: 0.47
Frequent set: { Export Administration Act South Africa }, support: 0.62
Frequent set: { Not Superfund Right to Sue }, support: 0.46
Frequent set: { Water Project Cost Sharing }, support: 0.45
Frequent set: { Democrat }, support: 0.61
Frequent set: { Physician Fee Freeze }, support: 0.41
Frequent set: { Handicapped Infants }, support: 0.43
Frequent set: { Republican }, support: 0.39
Frequent set: { Not Religious Groups in Schools }, support: 0.35
Frequent set: { Not Immigration }, support: 0.49
Frequent set: { Not Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Not El Salvador Aid }, support: 0.48
Frequent set: { Religious Groups in Schools }, support: 0.63
Frequent set: { MX Missile }, support: 0.48
Frequent set: { Not Synfuel Corporatino Cutback }, support: 0.61
Frequent set: { Not Anty Satellite Test Band }, support: 0.42
Frequent set: { Not Duty Free Exports }, support: 0.54
Frequent set: { Crime }, support: 0.57
Frequent set: { Duty Free Exports }, support: 0.40
Frequent set: { Not Handicapped Infants }, support: 0.54
Frequent set: { Synfuels Corporation Cutback }, support: 0.34
Frequent set: { Not Crime }, support: 0.39
Frequent set: { Aid to Nicaraguan Contras }, support: 0.56
Frequent set: { Not Physician Fee Freeze }, support: 0.57
Frequent set: { Immigration }, support: 0.50
Frequent set: { Education Spending }, support: 0.93
Frequent set: { Superfund Right to Sue }, support: 0.48
Frequent set: { Not Water Project Cost Sharing }, support: 0.44
Frequent set: { Adoption of the Budget Resolution }, support: 0.58
Frequent set: { Anti Satellite Test Band }, support: 0.55
Frequent set: { Not MX Missile, Physician Fee Freeze, Republican, El Salvador Aid }, support: 0.33
Frequent set: { Education Spending, Physician Fee Freeze, El Salvador Aid, Crime }, support: 0.34
Frequent set: { Not Physician Fee Freeze, MX Missile, Aid to Nicaraguan Contras, Democrat }, support: 0.40
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Education Spending, Duty Free Exports, Aid to Nicaraguan Contras, Not Physician Fee Freeze }, support: 0.31
Frequent set: { Education Spending, MX Missile, Anti Satellite Test Band, Not Physician Fee Freeze }, support: 0.35
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, MX Missile, Democrat }, support: 0.31
Frequent set: { Not El Salvador Aid, Education Spending, MX Missile, Not Physician Fee Freeze }, support: 0.36
Frequent set: { Physician Fee Freeze, Superfund Right to Sue, Religious Groups in Schools, El Salvador Aid }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Not MX Missile, Crime }, support: 0.36
Frequent set: { Education Spending, Religious Groups in Schools, Not Duty Free Exports, Not Anty Satellite Test Band }, support: 0.32
Frequent set: { Not Aid to Nicaraguan Contras, Religious Groups in Schools, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.32
Frequent set: { Not MX Missile, Religious Groups in Schools, Not Duty Free Exports, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Not Adoption of the Budget Resolution, Not Aid to Nicaraguan Contras, El Salvador Aid, Crime }, support: 0.30
Frequent set: { Not MX Missile, El Salvador Aid, Not Aid to Nicaraguan Contras, Physician Fee Freeze }, support: 0.31
Frequent set: { Not Adoption of the Budget Resolution, Not MX Missile, El Salvador Aid, Crime }, support: 0.31
Frequent set: { Not El Salvador Aid, Education Spending, Aid to Nicaraguan Contras, MX Missile }, support: 0.38
Frequent set: { Education Spending, Superfund Right to Sue, Not MX Missile, El Salvador Aid }, support: 0.32
Frequent set: { Not Crime, Aid to Nicaraguan Contras, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Religious Groups in Schools, Not Anty Satellite Test Band, Not Aid to Nicaraguan Contras, Crime }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Not Physician Fee Freeze, MX Missile }, support: 0.31
Frequent set: { Education Spending, Not Aid to Nicaraguan Contras, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.32
Frequent set: { Not Superfund Right to Sue, MX Missile, Adoption of the Budget Resolution, Democrat }, support: 0.31
Frequent set: { Not El Salvador Aid, Aid to Nicaraguan Contras, Democrat, Export Administration Act South Africa }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, Not Crime, Democrat }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Anti Satellite Test Band, Democrat, Export Administration Act South Africa }, support: 0.31
Frequent set: { Education Spending, Physician Fee Freeze, Not Duty Free Exports, Republican }, support: 0.30
Frequent set: { Not Adoption of the Budget Resolution, Education Spending, Religious Groups in Schools, Crime }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Republican, El Salvador Aid }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Anti Satellite Test Band }, support: 0.40
Frequent set: { Education Spending, Superfund Right to Sue, Religious Groups in Schools, Not MX Missile }, support: 0.32
Frequent set: { Not MX Missile, Not Duty Free Exports, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.30
Frequent set: { Not Duty Free Exports, Not Anty Satellite Test Band, El Salvador Aid, Crime }, support: 0.30
Frequent set: { Not El Salvador Aid, Education Spending, Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.40
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat }, support: 0.35
Frequent set: { Education Spending, MX Missile, Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.37
Frequent set: { Handicapped Infants, Education Spending, Not Physician Fee Freeze, Democrat }, support: 0.32
Frequent set: { Not MX Missile, Not Anty Satellite Test Band, El Salvador Aid, Crime }, support: 0.32
Frequent set: { Religious Groups in Schools, Not Anty Satellite Test Band, El Salvador Aid, Crime }, support: 0.33
Frequent set: { Physician Fee Freeze, Religious Groups in Schools, Not Duty Free Exports, Crime }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Not MX Missile, Not Anty Satellite Test Band }, support: 0.33
Frequent set: { Not MX Missile, Physician Fee Freeze, Religious Groups in Schools, Republican }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Education Spending, Physician Fee Freeze, Religious Groups in Schools, Crime }, support: 0.33
Frequent set: { Not El Salvador Aid, MX Missile, Aid to Nicaraguan Contras, Democrat }, support: 0.39
Frequent set: { Not Handicapped Infants, Religious Groups in Schools, Not MX Missile, El Salvador Aid }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Anti Satellite Test Band, Not Crime }, support: 0.32
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Export Administration Act South Africa }, support: 0.30
Frequent set: { Not Crime, Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat }, support: 0.35
Frequent set: { Not El Salvador Aid, Aid to Nicaraguan Contras, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Education Spending, Not MX Missile, Republican, El Salvador Aid }, support: 0.31
Frequent set: { Not El Salvador Aid, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime }, support: 0.32
Frequent set: { Not Physician Fee Freeze, Duty Free Exports, Education Spending, Democrat }, support: 0.33
Frequent set: { Not MX Missile, Physician Fee Freeze, Not Aid to Nicaraguan Contras, Crime }, support: 0.30
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, MX Missile, Aid to Nicaraguan Contras }, support: 0.32
Frequent set: { Not Physician Fee Freeze, Anti Satellite Test Band, Adoption of the Budget Resolution, Democrat }, support: 0.42
Frequent set: { Not MX Missile, Not Aid to Nicaraguan Contras, Religious Groups in Schools, El Salvador Aid }, support: 0.34
Frequent set: { MX Missile, Aid to Nicaraguan Contras, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.36
Frequent set: { Education Spending, Superfund Right to Sue, Religious Groups in Schools, Not Handicapped Infants }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Anti Satellite Test Band, Not Crime, Democrat }, support: 0.34
Frequent set: { Not El Salvador Aid, MX Missile, Aid to Nicaraguan Contras, Anti Satellite Test Band }, support: 0.37
Frequent set: { Duty Free Exports, Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Aid to Nicaraguan Contras, Not Crime, Democrat }, support: 0.36
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Not Physician Fee Freeze }, support: 0.35
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Export Administration Act South Africa }, support: 0.32
Frequent set: { Education Spending, Religious Groups in Schools, El Salvador Aid, Crime }, support: 0.39
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime }, support: 0.31
Frequent set: { Not El Salvador Aid, Education Spending, Aid to Nicaraguan Contras, Democrat }, support: 0.43
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, MX Missile, Anti Satellite Test Band }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat }, support: 0.46
Frequent set: { Not MX Missile, Religious Groups in Schools, Not Aid to Nicaraguan Contras, Not Anty Satellite Test Band }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Not Crime, Democrat }, support: 0.30
Frequent set: { Education Spending, Not Duty Free Exports, El Salvador Aid, Crime }, support: 0.35
Frequent set: { Not Superfund Right to Sue, Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat }, support: 0.36
Frequent set: { Education Spending, Not MX Missile, Not Anty Satellite Test Band, Crime }, support: 0.31
Frequent set: { Education Spending, Not Anty Satellite Test Band, Not Aid to Nicaraguan Contras, Crime }, support: 0.30
Frequent set: { Not Physician Fee Freeze, MX Missile, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Not Handicapped Infants, Education Spending, Not MX Missile, El Salvador Aid }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Crime, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Not Superfund Right to Sue, MX Missile, Aid to Nicaraguan Contras, Anti Satellite Test Band }, support: 0.31
Frequent set: { Not El Salvador Aid, Education Spending, MX Missile, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Export Administration Act South Africa }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Crime }, support: 0.33
Frequent set: { Not Adoption of the Budget Resolution, Education Spending, Physician Fee Freeze, Republican }, support: 0.30
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Democrat }, support: 0.44
Frequent set: { Physician Fee Freeze, Religious Groups in Schools, Republican, Crime }, support: 0.32
Frequent set: { Not Crime, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Not El Salvador Aid, Education Spending, Anti Satellite Test Band, Democrat }, support: 0.39
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Not Crime }, support: 0.34
Frequent set: { Not El Salvador Aid, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band }, support: 0.40
Frequent set: { Not Physician Fee Freeze, Duty Free Exports, Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Not El Salvador Aid, Aid to Nicaraguan Contras, MX Missile, Adoption of the Budget Resolution }, support: 0.36
Frequent set: { Superfund Right to Sue, Religious Groups in Schools, Not Aid to Nicaraguan Contras, Crime }, support: 0.31
Frequent set: { Education Spending, Superfund Right to Sue, Religious Groups in Schools, Crime }, support: 0.36
Frequent set: { Not El Salvador Aid, MX Missile, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Not Adoption of the Budget Resolution, Not MX Missile, Republican, El Salvador Aid }, support: 0.30
Frequent set: { Not MX Missile, Religious Groups in Schools, Not Duty Free Exports, El Salvador Aid }, support: 0.33
Frequent set: { Religious Groups in Schools, Not Duty Free Exports, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Education Spending, Not Crime }, support: 0.32
Frequent set: { Not Adoption of the Budget Resolution, Education Spending, Not MX Missile, El Salvador Aid }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Not Duty Free Exports, Crime }, support: 0.37
Frequent set: { Superfund Right to Sue, Not Anty Satellite Test Band, El Salvador Aid, Crime }, support: 0.31
Frequent set: { Not Aid to Nicaraguan Contras, Religious Groups in Schools, El Salvador Aid, Crime }, support: 0.35
Frequent set: { Not Adoption of the Budget Resolution, Physician Fee Freeze, Religious Groups in Schools, El Salvador Aid }, support: 0.30
Frequent set: { Handicapped Infants, Education Spending, Adoption of the Budget Resolution, Democrat }, support: 0.30
Frequent set: { Education Spending, Not Crime, Not Physician Fee Freeze, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Religious Groups in Schools, Not Duty Free Exports, Not Anty Satellite Test Band, Crime }, support: 0.30
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Democrat, Export Administration Act South Africa }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Not Religious Groups in Schools, Aid to Nicaraguan Contras, Democrat }, support: 0.30
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.32
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Education Spending, MX Missile }, support: 0.30
Frequent set: { Education Spending, Superfund Right to Sue, Religious Groups in Schools, El Salvador Aid }, support: 0.35
Frequent set: { Not MX Missile, Not Duty Free Exports, El Salvador Aid, Crime }, support: 0.33
Frequent set: { Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution, Democrat }, support: 0.38
Frequent set: { Education Spending, Anti Satellite Test Band, Adoption of the Budget Resolution, Democrat }, support: 0.39
Frequent set: { Education Spending, MX Missile, Aid to Nicaraguan Contras, Democrat }, support: 0.39
Frequent set: { Not El Salvador Aid, Education Spending, MX Missile, Democrat }, support: 0.37
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Democrat }, support: 0.38
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band }, support: 0.34
Frequent set: { Education Spending, MX Missile, Adoption of the Budget Resolution, Democrat }, support: 0.37
Frequent set: { Physician Fee Freeze, Religious Groups in Schools, Republican, El Salvador Aid }, support: 0.33
Frequent set: { Education Spending, Not MX Missile, Not Duty Free Exports, Crime }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Crime, Democrat }, support: 0.34
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Duty Free Exports, Democrat }, support: 0.31
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat }, support: 0.40
Frequent set: { Not Physician Fee Freeze, Aid to Nicaraguan Contras, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.40
Frequent set: { Not MX Missile, Not Aid to Nicaraguan Contras, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.32
Frequent set: { Education Spending, Religious Groups in Schools, Not MX Missile, Not Aid to Nicaraguan Contras }, support: 0.33
Frequent set: { Education Spending, Not Physician Fee Freeze, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.39
Frequent set: { Not El Salvador Aid, Education Spending, Duty Free Exports, Democrat }, support: 0.30
Frequent set: { Education Spending, Superfund Right to Sue, El Salvador Aid, Crime }, support: 0.35
Frequent set: { Not El Salvador Aid, Education Spending, Not Physician Fee Freeze, Anti Satellite Test Band }, support: 0.38
Frequent set: { Education Spending, Not Physician Fee Freeze, Not Crime, Democrat }, support: 0.35
Frequent set: { Education Spending, Physician Fee Freeze, Superfund Right to Sue, Crime }, support: 0.30
Frequent set: { Education Spending, Not MX Missile, Religious Groups in Schools, Not Handicapped Infants }, support: 0.31
Frequent set: { Not Adoption of the Budget Resolution, Education Spending, Religious Groups in Schools, El Salvador Aid }, support: 0.31
Frequent set: { Not Physician Fee Freeze, MX Missile, Anti Satellite Test Band, Democrat }, support: 0.37
Frequent set: { Not MX Missile, Superfund Right to Sue, Religious Groups in Schools, El Salvador Aid }, support: 0.33
Frequent set: { Not Aid to Nicaraguan Contras, Superfund Right to Sue, Religious Groups in Schools, El Salvador Aid }, support: 0.32
Frequent set: { Handicapped Infants, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Democrat }, support: 0.30
Frequent set: { Education Spending, Physician Fee Freeze, Religious Groups in Schools, Republican }, support: 0.32
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.34
Frequent set: { Not Aid to Nicaraguan Contras, Republican, El Salvador Aid, Physician Fee Freeze }, support: 0.30
Frequent set: { Education Spending, Duty Free Exports, Aid to Nicaraguan Contras, Democrat }, support: 0.31
Frequent set: { Education Spending, Superfund Right to Sue, Religious Groups in Schools, Not Anty Satellite Test Band }, support: 0.31
Frequent set: { Education Spending, Not Duty Free Exports, Religious Groups in Schools, Not MX Missile }, support: 0.34
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Adoption of the Budget Resolution, Democrat }, support: 0.34
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Anti Satellite Test Band, Democrat }, support: 0.41
Frequent set: { Education Spending, Religious Groups in Schools, El Salvador Aid, Not Anty Satellite Test Band }, support: 0.34
Frequent set: { Not MX Missile, Religious Groups in Schools, El Salvador Aid, Crime }, support: 0.37
Frequent set: { Superfund Right to Sue, Not Duty Free Exports, El Salvador Aid, Crime }, support: 0.33
Frequent set: { Not Superfund Right to Sue, MX Missile, Anti Satellite Test Band, Democrat }, support: 0.31
Frequent set: { Not El Salvador Aid, Education Spending, Aid to Nicaraguan Contras, Not Physician Fee Freeze }, support: 0.42
Frequent set: { Not El Salvador Aid, MX Missile, Not Crime, Democrat }, support: 0.30
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Education Spending, Not Physician Fee Freeze }, support: 0.34
Frequent set: { Not El Salvador Aid, Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat }, support: 0.42
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.36
Frequent set: { Education Spending, Not Duty Free Exports, Not Aid to Nicaraguan Contras, Crime }, support: 0.31
Frequent set: { Not Handicapped Infants, Religious Groups in Schools, El Salvador Aid, Crime }, support: 0.31
Frequent set: { MX Missile, Anti Satellite Test Band, Adoption of the Budget Resolution, Democrat }, support: 0.35
Frequent set: { Not MX Missile, Education Spending, Not Aid to Nicaraguan Contras, Crime }, support: 0.33
Frequent set: { Not El Salvador Aid, Education Spending, Anti Satellite Test Band, Not Crime }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Anti Satellite Test Band, Democrat }, support: 0.34
Frequent set: { Not Adoption of the Budget Resolution, Republican, El Salvador Aid, Crime }, support: 0.30
Frequent set: { Physician Fee Freeze, Religious Groups in Schools, Not Duty Free Exports, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, Democrat }, support: 0.35
Frequent set: { Education Spending, Physician Fee Freeze, Religious Groups in Schools, El Salvador Aid }, support: 0.34
Frequent set: { Education Spending, Not Physician Fee Freeze, Anti Satellite Test Band, Not Crime }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Aid to Nicaraguan Contras, Democrat }, support: 0.36
Frequent set: { Not MX Missile, Superfund Right to Sue, El Salvador Aid, Crime }, support: 0.32
Frequent set: { Not Physician Fee Freeze, MX Missile, Education Spending, Democrat }, support: 0.39
Frequent set: { Education Spending, Superfund Right to Sue, Not Duty Free Exports, El Salvador Aid }, support: 0.32
Frequent set: { Religious Groups in Schools, Not Duty Free Exports, Not Aid to Nicaraguan Contras, Crime }, support: 0.31
Frequent set: { Physician Fee Freeze, Not Aid to Nicaraguan Contras, El Salvador Aid, Crime }, support: 0.31
Frequent set: { Education Spending, Adoption of the Budget Resolution, Democrat, Export Administration Act South Africa }, support: 0.32
Frequent set: { Not Superfund Right to Sue, MX Missile, Aid to Nicaraguan Contras, Democrat }, support: 0.32
Frequent set: { Not Physician Fee Freeze, Duty Free Exports, Adoption of the Budget Resolution, Democrat }, support: 0.32
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras }, support: 0.34
Frequent set: { Education Spending, Physician Fee Freeze, Republican, El Salvador Aid }, support: 0.34
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Aid to Nicaraguan Contras }, support: 0.38
Frequent set: { Education Spending, Physician Fee Freeze, Religious Groups in Schools, Not MX Missile }, support: 0.31
Frequent set: { Education Spending, MX Missile, Anti Satellite Test Band, Democrat }, support: 0.36
Frequent set: { Not El Salvador Aid, Duty Free Exports, Aid to Nicaraguan Contras, Democrat }, support: 0.31
Frequent set: { Not Adoption of the Budget Resolution, Not MX Missile, Religious Groups in Schools, El Salvador Aid }, support: 0.31
Frequent set: { Physician Fee Freeze, Not Duty Free Exports, Republican, El Salvador Aid }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Anti Satellite Test Band }, support: 0.35
Frequent set: { Not Superfund Right to Sue, Education Spending, Aid to Nicaraguan Contras, MX Missile }, support: 0.31
Frequent set: { Not Superfund Right to Sue, Education Spending, Not Physician Fee Freeze, Democrat }, support: 0.38
Frequent set: { Not Physician Fee Freeze, Not Crime, Adoption of the Budget Resolution, Democrat }, support: 0.36
Frequent set: { Education Spending, Religious Groups in Schools, Not Handicapped Infants, Crime }, support: 0.34
Frequent set: { Education Spending, Not Crime, Adoption of the Budget Resolution, Democrat }, support: 0.34
Frequent set: { Education Spending, Superfund Right to Sue, Not MX Missile, Crime }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Not Crime, Democrat }, support: 0.34
Frequent set: { Not Handicapped Infants, Education Spending, Religious Groups in Schools, Not Duty Free Exports }, support: 0.30
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Adoption of the Budget Resolution, Democrat }, support: 0.42
Frequent set: { MX Missile, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat }, support: 0.37
Frequent set: { Education Spending, Religious Groups in Schools, Not Handicapped Infants, El Salvador Aid }, support: 0.32
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Anti Satellite Test Band, Not Physician Fee Freeze }, support: 0.40
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.31
Frequent set: { Superfund Right to Sue, Religious Groups in Schools, Not Duty Free Exports, Crime }, support: 0.33
Frequent set: { Not El Salvador Aid, Not Superfund Right to Sue, Not Physician Fee Freeze, Anti Satellite Test Band }, support: 0.34
Frequent set: { Education Spending, Not MX Missile, Not Aid to Nicaraguan Contras, Not Anty Satellite Test Band }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Not Anty Satellite Test Band, Crime }, support: 0.32
Frequent set: { Education Spending, Superfund Right to Sue, Religious Groups in Schools, Not Aid to Nicaraguan Contras }, support: 0.31
Frequent set: { Not El Salvador Aid, Aid to Nicaraguan Contras, Anti Satellite Test Band, Democrat }, support: 0.41
Frequent set: { Not MX Missile, Not Duty Free Exports, Not Aid to Nicaraguan Contras, Crime }, support: 0.31
Frequent set: { Education Spending, Not Synfuel Corporatino Cutback, El Salvador Aid, Crime }, support: 0.30
Frequent set: { Not El Salvador Aid, Education Spending, Not Physician Fee Freeze, Democrat }, support: 0.42
Frequent set: { Not Adoption of the Budget Resolution, Not MX Missile, Physician Fee Freeze, El Salvador Aid }, support: 0.31
Frequent set: { Not MX Missile, Physician Fee Freeze, Republican, Crime }, support: 0.31
Frequent set: { MX Missile, Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat }, support: 0.38
Frequent set: { Not El Salvador Aid, Anti Satellite Test Band, Not Crime, Democrat }, support: 0.32
Frequent set: { Not MX Missile, Not Anty Satellite Test Band, Not Aid to Nicaraguan Contras, Crime }, support: 0.31
Frequent set: { Not Physician Fee Freeze, MX Missile, Aid to Nicaraguan Contras, Not Crime }, support: 0.30
Frequent set: { Not El Salvador Aid, MX Missile, Adoption of the Budget Resolution, Democrat }, support: 0.36
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, MX Missile, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Education Spending, Not Crime, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.30
Frequent set: { Education Spending, Not Physician Fee Freeze, Adoption of the Budget Resolution, Democrat }, support: 0.47
Frequent set: { Aid to Nicaraguan Contras, Adoption of the Budget Resolution, Democrat, Export Administration Act South Africa }, support: 0.32
Frequent set: { Not Crime, Not El Salvador Aid, Aid to Nicaraguan Contras, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not El Salvador Aid, Education Spending, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.37
Frequent set: { Not MX Missile, Physician Fee Freeze, Religious Groups in Schools, Crime }, support: 0.32
Frequent set: { Education Spending, Not Duty Free Exports, Not MX Missile, El Salvador Aid }, support: 0.33
Frequent set: { Not Superfund Right to Sue, Anti Satellite Test Band, Adoption of the Budget Resolution, Democrat }, support: 0.34
Frequent set: { Not Physician Fee Freeze, Duty Free Exports, Anti Satellite Test Band, Democrat }, support: 0.31
Frequent set: { Religious Groups in Schools, Not Duty Free Exports, El Salvador Aid, Crime }, support: 0.35
Frequent set: { Not MX Missile, Not Aid to Nicaraguan Contras, El Salvador Aid, Crime }, support: 0.34
Frequent set: { Not Handicapped Infants, Education Spending, El Salvador Aid, Crime }, support: 0.31
Frequent set: { Education Spending, Religious Groups in Schools, Not MX Missile, El Salvador Aid }, support: 0.37
Frequent set: { MX Missile, Aid to Nicaraguan Contras, Not Crime, Democrat }, support: 0.31
Frequent set: { Not El Salvador Aid, Not Crime, Adoption of the Budget Resolution, Democrat }, support: 0.33
Frequent set: { Education Spending, Superfund Right to Sue, Not Aid to Nicaraguan Contras, Crime }, support: 0.31
Frequent set: { Not Physician Fee Freeze, Education Spending, Democrat, Export Administration Act South Africa }, support: 0.35
Frequent set: { Not El Salvador Aid, Not Physician Fee Freeze, Not Crime, Adoption of the Budget Resolution }, support: 0.33
Frequent set: { Not MX Missile, Religious Groups in Schools, Not Anty Satellite Test Band, Crime }, support: 0.31
Frequent set: { Not MX Missile, Superfund Right to Sue, Religious Groups in Schools, Not Aid to Nicaraguan Contras }, support: 0.30
Frequent set: { Education Spending, Physician Fee Freeze, Not MX Missile, Republican }, support: 0.31
Frequent set: { Not Adoption of the Budget Resolution, Education Spending, Physician Fee Freeze, El Salvador Aid }, support: 0.30
Frequent set: { Education Spending, Physician Fee Freeze, Republican, Crime }, support: 0.34
Frequent set: { Not Superfund Right to Sue, Not Physician Fee Freeze, Aid to Nicaraguan Contras, Democrat }, support: 0.38
Frequent set: { Education Spending, MX Missile, Anti Satellite Test Band, Adoption of the Budget Resolution }, support: 0.35
Frequent set: { Education Spending, Aid to Nicaraguan Contras, Not Physician Fee Freeze, Not Crime }, support: 0.34
